[2026-02-22 01:48:58] Quality Gate Orchestrator started
[2026-02-22 01:48:58] Monitoring 37 subjects across 5 semesters
[2026-02-22 01:48:58] ======================================================================
[2026-02-22 01:48:58] PHASE 1: Monitoring round 1 completion...
[2026-02-22 01:48:58] ======================================================================
[2026-02-22 01:48:58] Round 1 progress: 0/37 subjects done, 37 remaining
[2026-02-22 04:54:59] Round 1 progress: 20/37 subjects done, 17 remaining
[2026-02-22 04:56:59] Round 1 progress: 20/37 subjects done, 17 remaining
[2026-02-22 04:58:59] Round 1 progress: 20/37 subjects done, 17 remaining
[2026-02-22 05:00:59] Round 1 progress: 21/37 subjects done, 16 remaining
[2026-02-22 05:02:59] Round 1 progress: 21/37 subjects done, 16 remaining
[2026-02-22 05:04:59] Round 1 progress: 21/37 subjects done, 16 remaining
[2026-02-22 05:06:59] Round 1 progress: 21/37 subjects done, 16 remaining
[2026-02-22 05:08:59] Round 1 progress: 21/37 subjects done, 16 remaining
[2026-02-22 05:10:59] Round 1 progress: 21/37 subjects done, 16 remaining
[2026-02-22 05:12:59] Round 1 progress: 21/37 subjects done, 16 remaining
[2026-02-22 05:14:59] Round 1 progress: 21/37 subjects done, 16 remaining
[2026-02-22 05:16:59] Round 1 progress: 22/37 subjects done, 15 remaining
[2026-02-22 05:18:59] Round 1 progress: 23/37 subjects done, 14 remaining
[2026-02-22 05:20:59] Round 1 progress: 23/37 subjects done, 14 remaining
[2026-02-22 05:22:59] Round 1 progress: 24/37 subjects done, 13 remaining
[2026-02-22 05:24:59] Round 1 progress: 24/37 subjects done, 13 remaining
[2026-02-22 05:26:59] Round 1 progress: 24/37 subjects done, 13 remaining
[2026-02-22 05:28:59] Round 1 progress: 24/37 subjects done, 13 remaining
[2026-02-22 05:30:59] Round 1 progress: 24/37 subjects done, 13 remaining
[2026-02-22 05:32:59] Round 1 progress: 24/37 subjects done, 13 remaining
[2026-02-22 05:34:59] Round 1 progress: 25/37 subjects done, 12 remaining
[2026-02-22 05:36:59] Round 1 progress: 25/37 subjects done, 12 remaining
[2026-02-22 05:38:59] Round 1 progress: 25/37 subjects done, 12 remaining
[2026-02-22 05:40:59] Round 1 progress: 25/37 subjects done, 12 remaining
[2026-02-22 05:42:59] Round 1 progress: 25/37 subjects done, 12 remaining
[2026-02-22 05:44:59] Round 1 progress: 25/37 subjects done, 12 remaining
[2026-02-22 05:46:59] Round 1 progress: 25/37 subjects done, 12 remaining
[2026-02-22 05:48:59] Round 1 progress: 25/37 subjects done, 12 remaining
[2026-02-22 05:50:59] Round 1 progress: 25/37 subjects done, 12 remaining
[2026-02-22 05:52:59] Round 1 progress: 26/37 subjects done, 11 remaining
[2026-02-22 05:54:59] Round 1 progress: 27/37 subjects done, 10 remaining
[2026-02-22 05:54:59]   Waiting on: bcs402-microcontrollers, bcs403-database-management-system, bcs405b-graph-theory, bcs405c-optimization-technique, bcs405d-linear-algebra, bcs456a-green-it-and-sustainability, bcs456b-capacity-planning-for-it, bcs456c-uiux, bai654d-introduction-to-artificial-intelligence, bis654c-mobile-application-development
[2026-02-22 05:56:59] Round 1 progress: 27/37 subjects done, 10 remaining
[2026-02-22 05:56:59]   Waiting on: bcs402-microcontrollers, bcs403-database-management-system, bcs405b-graph-theory, bcs405c-optimization-technique, bcs405d-linear-algebra, bcs456a-green-it-and-sustainability, bcs456b-capacity-planning-for-it, bcs456c-uiux, bai654d-introduction-to-artificial-intelligence, bis654c-mobile-application-development
[2026-02-22 05:58:59] Round 1 progress: 27/37 subjects done, 10 remaining
[2026-02-22 05:58:59]   Waiting on: bcs402-microcontrollers, bcs403-database-management-system, bcs405b-graph-theory, bcs405c-optimization-technique, bcs405d-linear-algebra, bcs456a-green-it-and-sustainability, bcs456b-capacity-planning-for-it, bcs456c-uiux, bai654d-introduction-to-artificial-intelligence, bis654c-mobile-application-development
[2026-02-22 06:00:59] Round 1 progress: 27/37 subjects done, 10 remaining
[2026-02-22 06:00:59]   Waiting on: bcs402-microcontrollers, bcs403-database-management-system, bcs405b-graph-theory, bcs405c-optimization-technique, bcs405d-linear-algebra, bcs456a-green-it-and-sustainability, bcs456b-capacity-planning-for-it, bcs456c-uiux, bai654d-introduction-to-artificial-intelligence, bis654c-mobile-application-development
[2026-02-22 06:02:59] Round 1 progress: 27/37 subjects done, 10 remaining
[2026-02-22 06:02:59]   Waiting on: bcs402-microcontrollers, bcs403-database-management-system, bcs405b-graph-theory, bcs405c-optimization-technique, bcs405d-linear-algebra, bcs456a-green-it-and-sustainability, bcs456b-capacity-planning-for-it, bcs456c-uiux, bai654d-introduction-to-artificial-intelligence, bis654c-mobile-application-development
[2026-02-22 06:04:59] Round 1 progress: 27/37 subjects done, 10 remaining
[2026-02-22 06:04:59]   Waiting on: bcs402-microcontrollers, bcs403-database-management-system, bcs405b-graph-theory, bcs405c-optimization-technique, bcs405d-linear-algebra, bcs456a-green-it-and-sustainability, bcs456b-capacity-planning-for-it, bcs456c-uiux, bai654d-introduction-to-artificial-intelligence, bis654c-mobile-application-development
[2026-02-22 06:06:59] Round 1 progress: 27/37 subjects done, 10 remaining
[2026-02-22 06:06:59]   Waiting on: bcs402-microcontrollers, bcs403-database-management-system, bcs405b-graph-theory, bcs405c-optimization-technique, bcs405d-linear-algebra, bcs456a-green-it-and-sustainability, bcs456b-capacity-planning-for-it, bcs456c-uiux, bai654d-introduction-to-artificial-intelligence, bis654c-mobile-application-development
[2026-02-22 06:08:59] Round 1 progress: 27/37 subjects done, 10 remaining
[2026-02-22 06:08:59]   Waiting on: bcs402-microcontrollers, bcs403-database-management-system, bcs405b-graph-theory, bcs405c-optimization-technique, bcs405d-linear-algebra, bcs456a-green-it-and-sustainability, bcs456b-capacity-planning-for-it, bcs456c-uiux, bai654d-introduction-to-artificial-intelligence, bis654c-mobile-application-development
[2026-02-22 06:10:59] Round 1 progress: 27/37 subjects done, 10 remaining
[2026-02-22 06:10:59]   Waiting on: bcs402-microcontrollers, bcs403-database-management-system, bcs405b-graph-theory, bcs405c-optimization-technique, bcs405d-linear-algebra, bcs456a-green-it-and-sustainability, bcs456b-capacity-planning-for-it, bcs456c-uiux, bai654d-introduction-to-artificial-intelligence, bis654c-mobile-application-development
[2026-02-22 06:12:59] Round 1 progress: 27/37 subjects done, 10 remaining
[2026-02-22 06:12:59]   Waiting on: bcs402-microcontrollers, bcs403-database-management-system, bcs405b-graph-theory, bcs405c-optimization-technique, bcs405d-linear-algebra, bcs456a-green-it-and-sustainability, bcs456b-capacity-planning-for-it, bcs456c-uiux, bai654d-introduction-to-artificial-intelligence, bis654c-mobile-application-development
[2026-02-22 06:14:59] Round 1 progress: 27/37 subjects done, 10 remaining
[2026-02-22 06:14:59]   Waiting on: bcs402-microcontrollers, bcs403-database-management-system, bcs405b-graph-theory, bcs405c-optimization-technique, bcs405d-linear-algebra, bcs456a-green-it-and-sustainability, bcs456b-capacity-planning-for-it, bcs456c-uiux, bai654d-introduction-to-artificial-intelligence, bis654c-mobile-application-development
[2026-02-22 06:16:59] Round 1 progress: 27/37 subjects done, 10 remaining
[2026-02-22 06:16:59]   Waiting on: bcs402-microcontrollers, bcs403-database-management-system, bcs405b-graph-theory, bcs405c-optimization-technique, bcs405d-linear-algebra, bcs456a-green-it-and-sustainability, bcs456b-capacity-planning-for-it, bcs456c-uiux, bai654d-introduction-to-artificial-intelligence, bis654c-mobile-application-development
[2026-02-22 06:18:59] Round 1 progress: 27/37 subjects done, 10 remaining
[2026-02-22 06:18:59]   Waiting on: bcs402-microcontrollers, bcs403-database-management-system, bcs405b-graph-theory, bcs405c-optimization-technique, bcs405d-linear-algebra, bcs456a-green-it-and-sustainability, bcs456b-capacity-planning-for-it, bcs456c-uiux, bai654d-introduction-to-artificial-intelligence, bis654c-mobile-application-development
[2026-02-22 06:20:59] Round 1 progress: 27/37 subjects done, 10 remaining
[2026-02-22 06:20:59]   Waiting on: bcs402-microcontrollers, bcs403-database-management-system, bcs405b-graph-theory, bcs405c-optimization-technique, bcs405d-linear-algebra, bcs456a-green-it-and-sustainability, bcs456b-capacity-planning-for-it, bcs456c-uiux, bai654d-introduction-to-artificial-intelligence, bis654c-mobile-application-development
[2026-02-22 06:23:31] Quality Gate Orchestrator started
[2026-02-22 06:23:31] Monitoring 37 subjects across 5 semesters
[2026-02-22 06:23:31] ======================================================================
[2026-02-22 06:23:31] PHASE 1: Monitoring round 1 completion...
[2026-02-22 06:23:31] ======================================================================
[2026-02-22 06:23:31] Round 1 progress: 29/37 subjects done, 8 remaining
[2026-02-22 06:23:31]   Waiting on: bcs402-microcontrollers, bcs403-database-management-system, bcs405b-graph-theory, bcs405c-optimization-technique, bcs405d-linear-algebra, bcs456a-green-it-and-sustainability, bcs456b-capacity-planning-for-it, bcs456c-uiux
[2026-02-22 06:25:32] Round 1 progress: 29/37 subjects done, 8 remaining
[2026-02-22 06:25:32]   Waiting on: bcs402-microcontrollers, bcs403-database-management-system, bcs405b-graph-theory, bcs405c-optimization-technique, bcs405d-linear-algebra, bcs456a-green-it-and-sustainability, bcs456b-capacity-planning-for-it, bcs456c-uiux
[2026-02-22 06:27:32] Round 1 progress: 29/37 subjects done, 8 remaining
[2026-02-22 06:27:32]   Waiting on: bcs402-microcontrollers, bcs403-database-management-system, bcs405b-graph-theory, bcs405c-optimization-technique, bcs405d-linear-algebra, bcs456a-green-it-and-sustainability, bcs456b-capacity-planning-for-it, bcs456c-uiux
[2026-02-22 06:29:32] Round 1 progress: 29/37 subjects done, 8 remaining
[2026-02-22 06:29:32]   Waiting on: bcs402-microcontrollers, bcs403-database-management-system, bcs405b-graph-theory, bcs405c-optimization-technique, bcs405d-linear-algebra, bcs456a-green-it-and-sustainability, bcs456b-capacity-planning-for-it, bcs456c-uiux
[2026-02-22 06:31:32] Round 1 progress: 29/37 subjects done, 8 remaining
[2026-02-22 06:31:32]   Waiting on: bcs402-microcontrollers, bcs403-database-management-system, bcs405b-graph-theory, bcs405c-optimization-technique, bcs405d-linear-algebra, bcs456a-green-it-and-sustainability, bcs456b-capacity-planning-for-it, bcs456c-uiux
[2026-02-22 06:33:32] Round 1 progress: 29/37 subjects done, 8 remaining
[2026-02-22 06:33:32] No new completions for 600s — assuming 8 subjects need round 2: bcs402-microcontrollers, bcs403-database-management-system, bcs405b-graph-theory, bcs405c-optimization-technique, bcs405d-linear-algebra, bcs456a-green-it-and-sustainability, bcs456b-capacity-planning-for-it, bcs456c-uiux
[2026-02-22 06:33:32] ======================================================================
[2026-02-22 06:33:32] ROUND 1 DONE — 29/37 subjects completed, round 2 will handle the rest
[2026-02-22 06:33:32] ======================================================================
[2026-02-22 06:33:32] ======================================================================
[2026-02-22 06:33:32] PHASE 2: Preparing round 2 (fresh re-rating of all topics)...
[2026-02-22 06:33:32] ======================================================================
[2026-02-22 06:33:32] Cleared 30 progress files for fresh re-rating
[2026-02-22 06:33:32] ======================================================================
[2026-02-22 06:33:32] PHASE 2: Starting round 2 — 5 semesters in parallel
[2026-02-22 06:33:32] ======================================================================
[2026-02-22 06:33:32] Round 2 [sem-3] Starting 6 subjects...
[2026-02-22 06:33:32] Round 2 [sem-4] Starting 10 subjects...
[2026-02-22 06:33:32] Round 2 [sem-5] Starting 8 subjects...
[2026-02-22 06:33:32] Round 2 [sem-6] Starting 10 subjects...
[2026-02-22 06:33:32] Round 2 [sem-7] Starting 3 subjects...
[2026-02-22 06:33:32] Round 2 [sem-5] Starting: bcs501-software-engineering-project-management
[2026-02-22 06:33:32] Round 2 [sem-3] Starting: bcs301-mathematics-for-computer-science
[2026-02-22 06:33:32] Round 2 [sem-6] Starting: bai654d-introduction-to-artificial-intelligence
[2026-02-22 06:33:32] Round 2 [sem-4] Starting: bcs401-analysis-design-of-algorithms
[2026-02-22 06:33:32] Round 2 [sem-7] Starting: bcs701-internet-of-things
[2026-02-22 06:35:12] Round 2 [sem-6] Done: bai654d-introduction-to-artificial-intelligence —   PASS                : 11;   TOTAL               : 11; All topics PASS — nothing to fix.
[2026-02-22 06:35:12] Round 2 [sem-6] Starting: bcs601-cloud-computing
[2026-02-22 06:37:55] Round 2 [sem-3] Done: bcs301-mathematics-for-computer-science —   PASS                : 42;   TOTAL               : 42; All topics PASS — nothing to fix.
[2026-02-22 06:37:55] Round 2 [sem-3] Starting: bcs302-digital-design-and-computer-organization
[2026-02-22 06:38:50] Round 2 [sem-6] Done: bcs601-cloud-computing —   PASS                : 37;   TOTAL               : 37; All topics PASS — nothing to fix.
[2026-02-22 06:38:50] Round 2 [sem-6] Starting: bcs602-machine-learning
[2026-02-22 06:44:27] Round 2 [sem-7] Done: bcs701-internet-of-things —   [FIX 1/1 Python Data Types And Data Str] API responded in 74.5s;   [FIX 1/1 Python Data Types And Data Str] API responded in 128.3s; Fix complete: 1/1 topics fixed in 385s
[2026-02-22 06:44:27] Round 2 [sem-7] Starting: bcs702-parallel-computing
[2026-02-22 06:48:46] Round 2 [sem-3] Done: bcs302-digital-design-and-computer-organization —   [FIX 1/1 Performing Alu Operations] API responded in 121.5s;   [FIX 1/1 Performing Alu Operations] FIX FAILED: Expecting ',' delimiter: line 1 column 27788 (char 27787); Fix complete: 1/1 topics fixed in 365s
[2026-02-22 06:48:46] Round 2 [sem-3] Starting: bcs303-operating-systems
[2026-02-22 06:50:43] Round 2 [sem-6] Done: bcs602-machine-learning —   [FIX 2/2 Q Learning] API responded in 161.1s;   [FIX 2/2 Q Learning] FIX FAILED: Expecting property name enclosed in double quotes: line 1 column 5518 (char 5517); Fix complete: 1/2 topics fixed in 365s
[2026-02-22 06:50:43] Round 2 [sem-6] Starting: bcs613a-blockchain-technology
[2026-02-22 06:54:32] Round 2 [sem-4] Done: bcs401-analysis-design-of-algorithms —   [FIX 4/4 Prims Algorithm] API responded in 34.6s;   [FIX 4/4 Prims Algorithm] API responded in 163.3s; Fix complete: 4/4 topics fixed in 1057s
[2026-02-22 06:54:32] Round 2 [sem-4] Starting: bcs402-microcontrollers
[2026-02-22 06:57:32] Round 2 [sem-5] Done: bcs501-software-engineering-project-management —   [FIX 4/4 Introduction] API responded in 36.6s;   [FIX 4/4 Introduction] API responded in 106.9s; Fix complete: 4/4 topics fixed in 1065s
[2026-02-22 06:57:32] Round 2 [sem-5] Starting: bcs502-computer-networks
[2026-02-22 06:57:39] Round 2 [sem-7] Done: bcs702-parallel-computing —   [FIX 3/3 Improving Performance] API responded in 94.3s;   [FIX 3/3 Improving Performance] FIX FAILED: Extra data: line 1 column 9734 (char 9733); Fix complete: 3/3 topics fixed in 553s
[2026-02-22 06:57:39] Round 2 [sem-7] Starting: bcs703-cryptography-network-security
[2026-02-22 07:14:36] Round 2 [sem-4] Done: bcs402-microcontrollers —   [FIX 4/4 Exception Handling] API responded in 164.8s;   [FIX 4/4 Exception Handling] FIX FAILED: Expecting ':' delimiter: line 1 column 12544 (char 12543); Fix complete: 4/4 topics fixed in 950s
[2026-02-22 07:14:36] Round 2 [sem-4] Starting: bcs403-database-management-system
[2026-02-22 07:17:22] Round 2 [sem-5] Done: bcs502-computer-networks —   [FIX 5/5 Services] API responded in 43.9s;   [FIX 5/5 Services] API responded in 74.0s; Fix complete: 5/5 topics fixed in 883s
[2026-02-22 07:17:22] Round 2 [sem-5] Starting: bcs503-theory-of-computation
[2026-02-22 07:18:46] Round 2 [sem-3] TIMEOUT (30min): bcs303-operating-systems
[2026-02-22 07:18:46] Round 2 [sem-3] Starting: bcs304-data-structures-and-applications
[2026-02-22 07:19:40] Round 2 [sem-7] Done: bcs703-cryptography-network-security —   [FIX 5/5 Pretty Good Privacy] API responded in 72.5s;   [FIX 5/5 Pretty Good Privacy] API responded in 164.6s; Fix complete: 5/5 topics fixed in 999s
[2026-02-22 07:19:40] Round 2 [sem-7] All 3 subjects done.
[2026-02-22 07:20:22] Round 2 [sem-5] Done: bcs503-theory-of-computation —   PASS                : 30;   TOTAL               : 30; All topics PASS — nothing to fix.
[2026-02-22 07:20:22] Round 2 [sem-5] Starting: bcs508-environmental-studies
[2026-02-22 07:20:43] Round 2 [sem-6] TIMEOUT (30min): bcs613a-blockchain-technology
[2026-02-22 07:20:43] Round 2 [sem-6] Starting: bcs613b-computer-vision
[2026-02-22 07:22:01] Round 2 [sem-4] Done: bcs403-database-management-system —   [FIX 1/1 Update Operations Transactions] API responded in 131.4s;   [FIX 1/1 Update Operations Transactions] FIX FAILED: Expecting ':' delimiter: line 1 column 9941 (char 9940); Fix complete: 1/1 topics fixed in 159s
[2026-02-22 07:22:01] Round 2 [sem-4] Starting: bcs405a-discrete-mathematical-structures
[2026-02-22 07:29:48] Round 2 [sem-6] Done: bcs613b-computer-vision —   [FIX 1/1 Morphological Image Processing] API responded in 121.5s;   [FIX 1/1 Morphological Image Processing] FIX FAILED: Expecting ':' delimiter: line 1 column 8087 (char 8086); Fix complete: 1/1 topics fixed in 184s
[2026-02-22 07:29:48] Round 2 [sem-6] Starting: bcs613c-compiler-design
[2026-02-22 07:30:04] Round 2 [sem-5] Done: bcs508-environmental-studies —   [FIX 2/2 Types And Sources] API responded in 28.0s;   [FIX 2/2 Types And Sources] API responded in 141.2s; Fix complete: 2/2 topics fixed in 353s
[2026-02-22 07:30:04] Round 2 [sem-5] Starting: bcs515a-computer-graphics
[2026-02-22 07:31:04] Round 2 [sem-4] Done: bcs405a-discrete-mathematical-structures —   [FIX 2/2 Second Order Linear Homogeneou] API responded in 148.5s;   [FIX 2/2 Second Order Linear Homogeneou] FIX FAILED: Expecting ':' delimiter: line 1 column 5511 (char 5510); Fix complete: 0/2 topics fixed in 291s
[2026-02-22 07:31:04] Round 2 [sem-4] Starting: bcs405b-graph-theory
[2026-02-22 07:31:56] Round 2 [sem-6] Done: bcs613c-compiler-design —   PASS                : 19;   TOTAL               : 19; All topics PASS — nothing to fix.
[2026-02-22 07:31:56] Round 2 [sem-6] Starting: bcs613d-advanced-java
[2026-02-22 07:32:03] Round 2 [sem-3] Done: bcs304-data-structures-and-applications —   [FIX 3/3 Single And Double Ended Priori] API responded in 123.3s;   [FIX 3/3 Single And Double Ended Priori] FIX FAILED: Expecting ',' delimiter: line 1 column 30923 (char 30922); Fix complete: 3/3 topics fixed in 521s
[2026-02-22 07:32:03] Round 2 [sem-3] Starting: bcs306a-object-oriented-programming-with-java
[2026-02-22 07:39:30] Round 2 [sem-4] Done: bcs405b-graph-theory —   [FIX 1/1 Isomorphism Sub Graphs Walks P] API responded in 143.3s;   [FIX 1/1 Isomorphism Sub Graphs Walks P] FIX FAILED: Expecting ',' delimiter: line 218 column 384 (char 11548); Fix complete: 1/1 topics fixed in 265s
[2026-02-22 07:39:30] Round 2 [sem-4] Starting: bcs405c-optimization-technique
[2026-02-22 07:40:22] Round 2 [sem-4] Done: bcs405c-optimization-technique —   PASS                : 8;   TOTAL               : 8; All topics PASS — nothing to fix.
[2026-02-22 07:40:22] Round 2 [sem-4] Starting: bcs405d-linear-algebra
[2026-02-22 07:41:17] Round 2 [sem-6] Done: bcs613d-advanced-java —   [FIX 1/1 Loops] API responded in 59.7s;   [FIX 1/1 Loops] API responded in 110.5s; Fix complete: 1/1 topics fixed in 170s
[2026-02-22 07:41:17] Round 2 [sem-6] Starting: bcs654a-introduction-to-data-structures
[2026-02-22 07:41:47] Round 2 [sem-5] Done: bcs515a-computer-graphics —   [FIX 2/2 Menus] API responded in 68.3s;   [FIX 2/2 Menus] API responded in 136.2s; Fix complete: 2/2 topics fixed in 428s
[2026-02-22 07:41:47] Round 2 [sem-5] Starting: bcs515b-artificial-intelligence
[2026-02-22 07:51:01] Round 2 [sem-6] Done: bcs654a-introduction-to-data-structures —   [FIX 1/1 Trees] API responded in 48.9s;   [FIX 1/1 Trees] API responded in 149.1s; Fix complete: 1/1 topics fixed in 198s
[2026-02-22 07:51:01] Round 2 [sem-6] Starting: bcs654b-fundamentals-of-operating-systems
[2026-02-22 07:51:15] Round 2 [sem-5] Done: bcs515b-artificial-intelligence —   [FIX 2/2 Example Problems] API responded in 158.2s;   [FIX 2/2 Example Problems] FIX FAILED: Expecting ',' delimiter: line 1 column 3721 (char 3720); Fix complete: 2/2 topics fixed in 376s
[2026-02-22 07:51:15] Round 2 [sem-5] Starting: bcs515c-unix-system-programming
